date,location,latitude,longitude,temperature,precipitation,humidity,wind_speed,source
2023-01-01,Manila,14.5995,120.9842,24.83,17.84,94.84,1.17,POWER
2023-01-02,Manila,14.5995,120.9842,24.98,16.73,90.9,1.62,POWER
2023-01-03,Manila,14.5995,120.9842,24.55,35.36,93.12,1.9,POWER
2023-01-04,Manila,14.5995,120.9842,24.32,46.31,91.08,2.37,POWER
2023-01-05,Manila,14.5995,120.9842,24.66,58.88,92.38,2.12,POWER
2023-01-06,Manila,14.5995,120.9842,24.3,45.96,94.74,1.71,POWER
2023-01-07,Manila,14.5995,120.9842,23.39,9.44,88.22,1.98,POWER
2023-01-08,Manila,14.5995,120.9842,22.38,1.57,86.05,1.92,POWER
2023-01-09,Manila,14.5995,120.9842,22.67,1.7,88.35,1.7,POWER
2023-01-10,Manila,14.5995,120.9842,23.32,1.93,89.54,1.46,POWER
2023-01-11,Manila,14.5995,120.9842,23.33,0.84,87.65,1.43,POWER
2023-01-12,Manila,14.5995,120.9842,23.33,0.91,87.47,1.48,POWER
2023-01-13,Manila,14.5995,120.9842,23.54,8.52,90.21,1.31,POWER
2023-01-14,Manila,14.5995,120.9842,23.95,9.82,93.12,0.93,POWER
2023-01-15,Manila,14.5995,120.9842,24.08,41.18,93.39,1.06,POWER
2023-01-16,Manila,14.5995,120.9842,24.17,11.42,92.25,1.53,POWER
2023-01-17,Manila,14.5995,120.9842,23.88,14.7,91.4,1.96,POWER
2023-01-18,Manila,14.5995,120.9842,23.75,10.33,92.87,1.61,POWER
2023-01-19,Manila,14.5995,120.9842,24.05,2.17,89.51,1.87,POWER
2023-01-20,Manila,14.5995,120.9842,24.07,12.94,90.46,2.41,POWER
2023-01-21,Manila,14.5995,120.9842,23.79,15.2,91.1,2.18,POWER
2023-01-22,Manila,14.5995,120.9842,24.22,6.86,90.65,1.8,POWER
2023-01-23,Manila,14.5995,120.9842,24.4,1.16,88.73,1.43,POWER
2023-01-24,Manila,14.5995,120.9842,24.42,2.19,88.21,1.66,POWER
2023-01-25,Manila,14.5995,120.9842,22.23,4.7,87.46,2.7,POWER
2023-01-26,Manila,14.5995,120.9842,22.44,1.5,87.31,1.97,POWER
2023-01-27,Manila,14.5995,120.9842,23.14,11.41,91.03,1.43,POWER
2023-01-28,Manila,14.5995,120.9842,21.93,6.91,87.77,2.29,POWER
2023-01-29,Manila,14.5995,120.9842,21.77,2.87,87.05,2.25,POWER
2023-01-30,Manila,14.5995,120.9842,22.73,1.54,86.98,2.24,POWER
2023-01-31,Manila,14.5995,120.9842,23.08,1.47,87.26,2.43,POWER
2023-02-01,Manila,14.5995,120.9842,24.25,4.94,89.12,1.61,POWER
2023-02-02,Manila,14.5995,120.9842,24.84,5.91,90.06,1.67,POWER
2023-02-03,Manila,14.5995,120.9842,24.28,1.93,87.46,1.84,POWER
2023-02-04,Manila,14.5995,120.9842,23.58,0.38,85.46,1.96,POWER
2023-02-05,Manila,14.5995,120.9842,23.71,5.33,89.05,1.72,POWER
